,precision,recall,f1-score,support
Heat Dissipation,1.0,0.9821428571428571,0.990990990990991,112.0
Overstrain,0.9863013698630136,0.9230769230769231,0.9536423841059603,78.0
Power Failure,0.9791666666666666,0.9894736842105263,0.9842931937172775,95.0
Tool Wear,1.0,0.7777777777777778,0.875,18.0
Random Failure,1.0,0.8222222222222222,0.9024390243902439,45.0
micro avg,0.990909090909091,0.9396551724137931,0.9646017699115044,348.0
macro avg,0.993093607305936,0.8989386928860613,0.9412731186408946,348.0
weighted avg,0.9912423568466908,0.9396551724137931,0.963341110494133,348.0
