iter	Passed	Remaining
408	7128	10299
409	7161	10305
410	7178	10287
411	7196	10270
412	7210	10248
413	7229	10233
414	7245	10213
415	7259	10191
416	7274	10170
417	7290	10150
418	7304	10128
419	7317	10105
420	7332	10084
421	7348	10065
422	7366	10048
423	7383	10029
424	7400	10011
425	7415	9991
426	7430	9971
427	7447	9952
428	7466	9937
429	7483	9920
430	7502	9904
431	7518	9885
432	7536	9869
433	7559	9858
434	7579	9845
435	7596	9826
436	7651	9857
437	7792	9998
438	7856	10039
439	7901	10057
440	7929	10050
441	7948	10034
442	7965	10015
443	7983	9997
444	8010	9991
445	8030	9974
446	8048	9957
447	8071	9944
448	8096	9936
449	8114	9918
450	8152	9923
451	8184	9922
452	8211	9914
453	8243	9913
454	8279	9916
455	8307	9911
456	8336	9904
457	8376	9912
458	8403	9904
459	8432	9898
460	8457	9888
461	8479	9874
462	8503	9862
463	8523	9845
464	8549	9836
465	8574	9825
466	8599	9815
467	8625	9804
468	8655	9799
469	8688	9798
470	8716	9790
471	8738	9774
472	8761	9761
473	8789	9753
474	8813	9741
475	8832	9723
476	8856	9711
477	8882	9700
478	9079	9875
479	9259	10031
480	9293	10028
481	9315	10011
482	9346	10004
483	9374	9994
484	9404	9985
485	9445	9989
486	9465	9971
487	9489	9956
488	9508	9936
489	9526	9915
490	9543	9893
491	9562	9873
492	9578	9850
493	9592	9825
494	9607	9801
495	9622	9777
496	9635	9752
497	9648	9726
498	9664	9703
499	9678	9678
500	9694	9655
501	9708	9631
502	9721	9605
503	9735	9580
504	9784	9590
505	9872	9638
506	9941	9666
507	9978	9663
508	9994	9640
509	10011	9618
510	10027	9595
511	10039	9569
512	10053	9544
513	10068	9519
514	10081	9494
515	10093	9467
516	10107	9443
517	10118	9415
518	10133	9391
519	10143	9363
520	10157	9339
521	10170	9312
522	10182	9286
523	10192	9258
524	10203	9231
525	10219	9208
526	10230	9182
527	10241	9154
528	10252	9128
529	10264	9102
530	10275	9075
531	10288	9050
532	10302	9026
533	10313	9000
534	10324	8973
535	10335	8947
536	10348	8922
537	10359	8896
538	10375	8874
539	10387	8848
540	10401	8824
541	10429	8812
542	10482	8822
543	10555	8847
544	10650	8891
545	10768	8954
546	10784	8931
547	10803	8910
548	10820	8889
549	10839	8868
550	10856	8846
551	10872	8823
552	10888	8801
553	10903	8777
554	10916	8752
555	10928	8726
556	10941	8701
557	10954	8677
558	10967	8652
559	10978	8626
560	10991	8600
561	11003	8575
562	11015	8550
563	11029	8526
564	11042	8501
565	11057	8478
566	11068	8452
567	11079	8427
568	11092	8402
569	11104	8377
570	11114	8350
571	11126	8325
572	11138	8300
573	11150	8275
574	11161	8249
575	11172	8224
576	11243	8242
577	11324	8268
578	11375	8271
579	11402	8256
580	11423	8238
581	11441	8217
582	11461	8197
583	11480	8177
584	11497	8156
585	11512	8133
586	11529	8111
587	11545	8089
588	11562	8068
589	11583	8049
590	11601	8029
591	11624	8011
592	11645	7992
593	11665	7973
594	11682	7951
595	11705	7934
596	11722	7912
597	11742	7893
598	11756	7870
599	11776	7851
600	11793	7829
601	11813	7810
602	11840	7795
603	11935	7825
604	12062	7875
605	12145	7896
606	12211	7906
607	12272	7912
608	12329	7915
609	12460	7966
610	12503	7960
611	12534	7946
612	12568	7934
613	12595	7918
614	12617	7899
615	12635	7876
