,precision,recall,f1-score,support
No Failure,0.9984051036682615,0.9740663900414938,0.9860855867681806,1928.0
Heat Dissipation,0.0,0.0,0.0,21.0
Power Failure,0.0,0.0,0.0,18.0
Overstrain,0.8260869565217391,1.0,0.9047619047619048,19.0
Tool Wear,0.0,0.0,0.0,12.0
Random Failures,0.0,0.0,0.0,2.0
accuracy,0.9485,0.9485,0.9485,0.9485
macro avg,0.3040820100316668,0.3290110650069156,0.3151412485883476,2000.0
weighted avg,0.9703103460231606,0.9485,0.9591817437397642,2000.0
