,precision,recall,f1-score,support
Heat Dissipation,1.0,0.9821428571428571,0.990990990990991,112.0
Overstrain,0.9473684210526315,0.9230769230769231,0.935064935064935,78.0
Power Failure,0.9690721649484536,0.9894736842105263,0.9791666666666666,95.0
Tool Wear,0.5833333333333334,0.7777777777777778,0.6666666666666666,18.0
Random Failure,0.6271186440677966,0.8222222222222222,0.7115384615384616,45.0
No Failure,0.9981316171891219,0.9962702030667219,0.9972000414808669,9652.0
accuracy,0.9943,0.9943,0.9943,0.9943
macro avg,0.8541706967652228,0.9151606112495047,0.880104627068098,10000.0
weighted avg,0.9950643300604665,0.9943,0.9945940920401947,10000.0
