,precision,recall,f1-score,support
No Failure,1.0,0.9090909090909091,0.9523809523809523,22.0
Heat Dissipation,0.7142857142857143,0.625,0.6666666666666666,16.0
Overstrain,0.8571428571428571,0.9473684210526315,0.9,19.0
Power Failure,0.0,0.0,0.0,4.0
Random Failure,0.043478260869565216,0.1111111111111111,0.0625,9.0
Tool Wear,0.9905857740585774,0.9813471502590674,0.9859448204060385,1930.0
accuracy,0.9715,0.9715,0.9715,0.9715
macro avg,0.6009154343927857,0.5956529319189532,0.5945820732422763,2000.0
weighted avg,0.980968066997583,0.9715,0.976077525501351,2000.0
