iter	MultiClass
0	1.185041843
1	0.9309435366
2	0.7654640467
3	0.6503109341
4	0.5617569835
5	0.4946124185
6	0.4415123053
7	0.3954434953
8	0.3573188793
9	0.3296777942
10	0.305110284
11	0.2829155504
12	0.2668336573
13	0.2512094092
14	0.2378091086
15	0.2272771308
16	0.2145365681
17	0.2032891737
18	0.1932833545
19	0.1854280498
20	0.1777704886
21	0.1716892771
22	0.1657871631
23	0.1613679024
24	0.1570749333
25	0.152172607
26	0.1474324228
27	0.1432262065
28	0.1400539785
29	0.1354639289
30	0.1321242431
31	0.1284586798
32	0.1252610132
33	0.1231132044
34	0.1211926078
35	0.1188250332
36	0.1161686314
37	0.1144166179
38	0.1119191153
39	0.1099046136
40	0.1086116883
41	0.1057159748
42	0.1037374835
43	0.1022999908
44	0.1002288884
45	0.09826993257
46	0.09677673643
47	0.09557781763
48	0.09432806666
49	0.0923130327
50	0.09117053771
51	0.09029306999
52	0.08797984323
53	0.08608288338
54	0.08476162533
55	0.08373756917
56	0.08268347637
57	0.08157360506
58	0.08035899813
59	0.07964349478
60	0.07844972184
61	0.07773601687
62	0.07668351551
63	0.07564560855
64	0.07499069215
65	0.07390485277
66	0.07334550635
67	0.07221302794
68	0.07097393708
69	0.07014195574
70	0.06903330592
71	0.06817592845
72	0.06717260803
73	0.06625493008
74	0.06536085912
75	0.0645741952
76	0.06397969563
77	0.06331905897
78	0.06255828481
79	0.06200098265
80	0.06123044723
81	0.06057074624
82	0.05995646073
83	0.05931614528
84	0.05880510708
85	0.05840840883
86	0.05814225909
87	0.05761324681
88	0.05697942144
89	0.05597382081
90	0.05527939831
91	0.05463021738
92	0.053759287
93	0.0531549167
94	0.05265551039
95	0.05209755163
96	0.05151825821
97	0.05120811946
98	0.05087318701
99	0.05049013458
100	0.05005126487
101	0.04980512572
102	0.04925970609
103	0.04900506983
104	0.04843936378
105	0.04810729326
106	0.04747210248
107	0.04690272807
108	0.04655423312
109	0.04611417126
110	0.04565375137
111	0.04531495587
112	0.04488619688
113	0.04464365846
114	0.04451711442
115	0.0439222756
116	0.04363122861
117	0.04324863974
118	0.04253139861
119	0.04234834336
120	0.0418816343
121	0.0413412375
122	0.04105655517
123	0.04075641574
124	0.0404404194
125	0.04009300399
126	0.03982649712
127	0.03959696287
128	0.03934618795
129	0.03892618917
130	0.03859100195
131	0.03827019709
132	0.03787656275
133	0.03768585012
134	0.03742931051
135	0.0371298048
136	0.0369074637
137	0.03660490594
138	0.03635397956
139	0.03609441283
140	0.03585429911
141	0.03561303592
142	0.03538338168
143	0.03517791822
144	0.03478532135
145	0.03466047207
146	0.03449121732
147	0.03428264361
148	0.03386646278
149	0.03359303152
150	0.03341315714
151	0.03313009332
152	0.03291551167
153	0.03272633988
154	0.03254815117
155	0.03229109969
156	0.03205890025
157	0.03196770421
158	0.03170851382
159	0.0315646192
160	0.03124471468
161	0.03117073872
162	0.03100505742
163	0.03066854918
164	0.03048428607
165	0.03028629633
166	0.03021595289
167	0.02995865018
168	0.02986338427
169	0.02971987513
170	0.02957817168
171	0.02951840907
172	0.02932184048
173	0.02908792035
174	0.02888164756
175	0.02860304237
176	0.02849346972
177	0.02838234645
178	0.02815763677
179	0.02800455579
180	0.02789978199
181	0.02774293249
182	0.0275070331
183	0.02743482076
184	0.02720994322
185	0.02709115817
186	0.02687427018
187	0.02675929227
188	0.02655376761
189	0.02644027601
190	0.02628285244
191	0.02613560348
192	0.02588366162
193	0.02573189163
194	0.02556947726
195	0.02547027426
196	0.02533938272
197	0.02525224318
198	0.02508765622
199	0.02502534201
200	0.02487538865
201	0.02475105438
202	0.02465735611
203	0.02455156843
204	0.02442978035
205	0.02437360427
206	0.02421151838
207	0.02410671007
208	0.02392014087
209	0.02375462877
210	0.02361291464
211	0.02349483555
212	0.02343152355
213	0.02326903664
214	0.02321271323
215	0.02301112871
216	0.02295597596
217	0.02292404444
218	0.02278569053
219	0.02248149603
220	0.02237769072
221	0.02228027579
222	0.02220111231
223	0.02209770084
224	0.02190071212
225	0.02172024512
226	0.02161347219
227	0.02151381926
228	0.02143107856
229	0.02133868331
230	0.02119926241
231	0.02107738673
232	0.0210159403
233	0.02088964455
234	0.02072662745
235	0.02064333064
236	0.02058632713
237	0.02049079063
238	0.02038011199
239	0.02028513963
240	0.02022052234
241	0.02005197716
242	0.01996011119
243	0.01980209571
244	0.01968054534
245	0.01956134504
246	0.0194625732
247	0.0193799651
248	0.01932392083
249	0.01917723943
250	0.0191115175
251	0.01905012454
252	0.01898258754
253	0.01885640464
254	0.01875901909
255	0.01871623816
256	0.01866880323
257	0.01863387855
258	0.01854728794
259	0.01846257435
260	0.01841134565
261	0.01831838027
262	0.01820104959
263	0.01811272465
264	0.01800331644
265	0.01790655069
266	0.01787447134
267	0.01785085824
268	0.01772216548
269	0.01762335404
270	0.01759196203
271	0.01754217294
272	0.0174627848
273	0.0173754493
274	0.01731723125
275	0.01724021285
276	0.01717230333
277	0.01710438108
278	0.01705520283
279	0.01697783332
280	0.01686729546
281	0.01682550071
282	0.01671942449
283	0.01663708127
284	0.01656135881
285	0.01652858694
286	0.0164144017
287	0.01632496849
288	0.01628406146
289	0.01621952027
290	0.01616553336
291	0.0160660192
292	0.01601980163
293	0.0159602626
294	0.01588635539
295	0.01586968024
296	0.01576828882
297	0.01570714479
298	0.01566544391
299	0.01555793382
